  Ref #,Carrier,Service Level,Tracking #,Status,Ship Date,Location,To ID,To Company,Discounted Cost,Published Cost,Marked Up Cost,Payment Type,Shipment Type,Delivery Status,Last Updated By,Last Updated Date,Comments
1001014,FedEx,FedEx Express Saver,794619057165,shipped,2024-03-25 11:22:46,NA Spare Parts,AID449899541,"DELTA AIR LINES, INC.",24.48,24.48,26.93,sender,Outbound,shipped,Piyovi Dev,2024-03-25 20:54:03,0
1001012,UPS,UPS Worldwide Express,1ZXXXXXXXXXXXXXXXX,shipped,2024-03-25 11:24:40,NA Spare Parts,AID672847499,Deutsches Museum,509.11,514.25,560.02,sender,Outbound,shipped,Piyovi Dev,2024-03-25 20:55:17,0
10011,RL,Standard,WR9661995,shipped,2024-03-25 11:19:15,NA Spare Parts,AID449899541,Rogers Corp,667.19,1589.81,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-25 20:51:08,0
1001010,FedEx,FedEx 2 Day,794619055850,shipped,2024-03-25 11:15:11,NA Spare Parts,AID449899541,Rogers Corp,57.16,57.16,62.88,sender,Outbound,shipped,Piyovi Dev,2024-03-25 20:47:48,0
201,RL,Guaranteed by 5 PM,WU5717556,shipped,2024-11-21 11:30:00,NA Spare Parts,AID449899541,Rogers Corp,1294.32,2898.96,1553.18,sender,Outbound,shipped,Pat Bishop,2024-11-21 22:00:37,0
"12345678,876543,9876543,9876543,76543,87654 1234 test label,kafheulifhaejkfuibhluer",ESTES,Standard,1618084705,shipped,2024-03-24 22:47:26,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 22:51:03,0
"12345678,876543,9876543,9876543,76543,87654 1234-1-1-1-1-1",ESTES,Standard,1618084703,shipped,2024-03-24 22:21:41,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 22:25:07,0
"12345678,876543,9876543,9876543,76543,87654 1234-1-1-1-1",ESTES,Standard,1618084702,shipped,2024-03-24 21:29:03,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 21:47:29,0
"12345678,876543,9876543,9876543,76543,87654 1234-1-1-1",ESTES,Standard,1618084699,shipped,2024-03-24 21:09:44,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 21:21:11,0
bol test -2-1,Generic Carrier,Standard,Unknown,draft,2024-03-24 21:08:13,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2024-03-24 21:08:16,0
"12345678,876543,9876543,9876543,76543,87654 1234-1-1",ESTES,Standard,1618084698,shipped,2024-03-24 20:45:41,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 21:04:44,0
bol test -2,Generic Carrier,Standard,20000117113128034,shipped,2024-03-24 20:39:33,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 20:41:30,0
bol test -1-1,Generic Carrier,Standard,20000117113123134,shipped,2024-03-24 20:31:42,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 20:37:44,0
bol test -1,Generic Carrier,Standard,20000117112918686,shipped,2024-03-24 20:20:52,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 20:21:29,0
Unknown,Generic Carrier,Standard,20000117112916015,shipped,2024-03-24 20:11:07,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 20:16:51,0
"12345678,876543,9876543,9876543,76543,87654 1234-1",ESTES,Standard,1618084697,shipped,2024-03-24 20:12:46,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 20:13:15,0
"12345678,876543,9876543,9876543,76543,87654 1234",ESTES,Standard,1618084696,shipped,2024-03-24 12:47:14,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-24 12:48:16,0
3452347,SAIA,Standard,999999999993,canceled,2024-03-22 12:58:49,NA Spare Parts,AID449899541,Rogers Corp,171.03,708.41,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 22:29:28,0
1001007,Generic Carrier,Standard,Unknown,draft,2024-03-22 11:56:01,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 21:27:17,0
3452347,Generic Carrier,Standard,20000117111225810,canceled,2024-03-22 11:49:10,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 21:19:44,0
3452347,Generic Carrier,Standard,20000117111223640,canceled,2024-03-22 11:45:48,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 21:16:10,0
"12345678,876543,9876543,9876543,76543,87654",ESTES,Standard,1618084670,shipped,2024-03-22 19:22:07,NA Spare Parts,NY01,ADAMS CO.,2703.08,20550.16,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 19:27:31,0
Test labels- uat,ESTES,Standard,1618084667,shipped,2024-03-22 18:48:30,NA Spare Parts,NY01,ADAMS CO.,901.42,5501.98,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 18:48:48,0
03222024-1,SAIA,Standard,999999999993,shipped,2024-03-22 18:40:53,NA Spare Parts,NY01,ADAMS CO.,240.4,3455.09,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 18:41:09,0
03222024-1,SAIA,Standard,999999999993,shipped,2024-03-22 18:22:02,NA Spare Parts,NY01,ADAMS CO.,240.4,3455.09,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 18:22:27,0
Unknown,SAIA,Standard,999999999993,shipped,2024-03-22 18:15:16,NA Spare Parts,NY01,ADAMS CO.,240.4,3455.09,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 18:15:51,0
Unknown,SAIA,Standard,999999999993,shipped,2024-03-22 18:09:26,NA Spare Parts,NY01,ADAMS CO.,223.23,3208.17,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 18:10:29,0
Unknown,SAIA,Standard,999999999993,shipped,2024-03-22 18:06:40,NA Spare Parts,NY01,ADAMS CO.,153.66,759.11,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 18:07:56,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968539,shipped,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 16:34:00,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968538,draft,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 16:27:56,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968538,shipped,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 16:26:23,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968537,draft,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 16:24:39,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968537,shipped,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 16:13:33,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968537,draft,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 16:09:25,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968537,draft,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 16:02:09,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968536,shipped,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 14:25:03,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968536,draft,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 14:18:56,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968535,draft,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-22 14:18:43,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968535,shipped,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 14:16:00,0
ItemSSCCtest-1,Generic Carrier,Standard,20000117110968534,shipped,2024-03-22 14:10:27,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 14:11:07,0
100056,FedEx Freight,FedEx Freight Economy,Unknown,draft,2024-03-26 14:41:02,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-27 00:11:49,0
1001003,UPS,UPS Worldwide Express,1ZXXXXXXXXXXXXXXXX,shipped,2024-03-22 13:20:07,NA Spare Parts,AID672847499,Deutsches Museum,508.05,513.18,558.86,sender,Outbound,shipped,Piyovi Dev,2024-03-22 22:50:46,0
1001002,RL,Standard,WR9549108,shipped,2024-03-22 13:16:43,NA Spare Parts,AID449899541,Rogers Corp,359.35,856.26,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 22:48:47,0
1001001,UPS,UPS Next Day Air Saver,1ZXXXXXXXXXXXXXXXX,shipped,2024-03-22 13:14:04,NA Spare Parts,AID449899541,Rogers Corp,179.7,181.52,197.67,sender,Outbound,shipped,Piyovi Dev,2024-03-22 22:45:43,0
1001015,FedEx,FedEx 2 Day,Unknown,draft,2024-03-25 01:19:39,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-25 10:49:55,0
1001005,FedEx,FedEx Express Saver,794618559062,shipped,2024-03-22 13:25:12,NA Spare Parts,AID449899541,"DELTA AIR LINES, INC.",24.48,24.48,26.93,sender,Outbound,shipped,Piyovi Dev,2024-03-22 22:55:48,0
1001005,FedEx,FedEx Express Saver,794618429939,canceled,2024-03-22 01:42:42,NA Spare Parts,AID449899541,"DELTA AIR LINES, INC.",24.48,24.48,26.93,sender,Outbound,shipped,Piyovi Dev,2024-03-22 11:15:44,0
1002603,RL,Standard,WR9455373,shipped,2024-03-22 02:03:02,NA Spare Parts,1010-,Jones Manufacturing Company,991.17,2361.79,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 02:05:37,0
1002602-00,ESTES,Standard,1618084658,shipped,2024-03-22 01:55:53,NA Spare Parts,1010-,Jones Manufacturing Company,183.54,183.54,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 01:58:46,0
1002599-00,RL,Standard,WR9446913,canceled,2024-03-22 01:19:21,NA Spare Parts,1010-,Jones Manufacturing Company,1241.74,2958.85,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 01:20:35,0
C800000001,ESTES,Standard,1618084653,shipped,2024-03-22 00:06:45,NA Spare Parts,1010,Jones Manufacturing Company,183.54,183.54,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 00:08:04,0
3000049-00,RL,Standard,WR9427563,shipped,2024-03-22 00:05:33,NA Spare Parts,1010-,Jones Manufacturing Company,1241.74,2958.85,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 00:06:21,0
3000049-00,RL,Standard,WR9425574,canceled,2024-03-21 23:59:28,NA Spare Parts,1010-,Jones Manufacturing Company,399.97,953.05,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-22 00:00:17,0
C800000001,FedEx,FedEx 2 Day,794618187793,canceled,2024-03-21 23:56:32,NA Spare Parts,1010,Jones Manufacturing Company,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 23:57:37,0
05675950000-9,Unknown,Unknown,Unknown,draft,2024-03-19 05:53:44,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,Unknown,Unknown,pending,Piyovi Dev,2024-03-21 20:28:54,0
off-carrier enegine,SAIA,Standard,999999999993,shipped,2024-03-21 17:26:09,NA Spare Parts,NY01,ADAMS CO.,313.66,919.11,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 17:27:00,0
TEST-middleware -on,SAIA,Standard,999999999993,shipped,2024-03-21 17:23:19,NA Spare Parts,NY01,ADAMS CO.,313.66,919.11,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 17:23:56,0
TEST-middleware,SAIA,Standard,999999999993,shipped,2024-03-21 17:10:37,NA Spare Parts,NY01,ADAMS CO.,313.66,919.11,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 17:19:29,0
789,SAIA,Standard,999999999993,shipped,2024-03-21 17:09:27,NA Spare Parts,NY01,ADAMS CO.,153.66,759.11,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 17:10:34,0
Unknown,Generic Carrier,Standard,89765,shipped,2024-03-21 17:00:59,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 17:05:45,0
Unknown,SAIA,Standard,999999999993,shipped,2024-03-21 17:00:01,NA Spare Parts,NY01,ADAMS CO.,153.66,759.11,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 17:00:58,0
54326543-6-1,Generic Carrier,Standard,20000117110200472,shipped,2024-03-21 16:50:30,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 16:50:59,0
Unknown,Generic Carrier,Standard,20000117110168041,shipped,2024-03-21 15:53:37,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 16:05:10,0
Unknown,Generic Carrier,Standard,20000117110168040,shipped,2024-03-21 15:53:37,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 15:57:01,0
3452348-3,UPS,UPS Worldwide Express,1ZXXXXXXXXXXXXXXXX,shipped,2024-09-30 19:29:33,NA Spare Parts,AID672847499,Deutsches Museum,512.91,518.09,564.2,sender,Outbound,shipped,Bhavana Musuluri,2024-09-30 19:29:58,0
3452348,UPS,UPS Worldwide Express,1ZXXXXXXXXXXXXXXXX,canceled,2024-03-20 14:45:25,NA Spare Parts,AID672847499,Deutsches Museum,200.0,513.18,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 14:42:10,0
3452347,RL,Standard,WR9274986,canceled,2024-03-20 14:40:40,NA Spare Parts,AID449899541,Rogers Corp,1113.9,2654.24,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 00:12:54,0
3452351,FedEx,FedEx 2 Day,794617784923,canceled,2024-03-20 14:33:46,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-21 00:07:57,0
3452351,FedEx,FedEx 2 Day,794617778300,canceled,2024-03-20 14:11:50,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 23:42:21,0
3452348,UPS,UPS Worldwide Express,1ZXXXXXXXXXXXXXXXX,canceled,2024-03-20 14:10:57,NA Spare Parts,AID672847499,Deutsches Museum,508.05,513.18,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 23:41:29,0
200,UPS,UPS Next Day Air Saver,1ZXXXXXXXXXXXXXXXX,shipped,2024-11-21 11:28:44,NA Spare Parts,AID449899541,Rogers Corp,98.68,99.68,118.42,sender,Outbound,shipped,Pat Bishop,2024-11-21 21:58:57,0
3452347SA,FedEx Freight,FedEx Freight Economy,Unknown,draft,2024-03-20 14:00:15,NA Spare Parts,AID449899541,Rogers Corp,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-20 23:30:38,0
3452347,RL,Standard,WR9177327,canceled,2024-03-20 09:22:36,NA Spare Parts,AID449899541,Rogers Corp,1317.8,2858.14,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 18:54:43,0
3452351,UPS,UPS Next Day Air Saver,1ZXXXXXXXXXXXXXXXX,canceled,2024-03-20 09:18:19,NA Spare Parts,AID449899541,Rogers Corp,268.68,271.39,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 18:51:40,0
05675950000-8,FedEx,Fedex Ground,794617714423,shipped,2024-03-20 18:43:05,NA Spare Parts,Unknown,EPI FULFILLMENT,36.49,36.49,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 19:13:17,0
54326543-6,Generic Carrier,Standard,20000117109392243,shipped,2024-03-20 18:23:27,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 18:39:48,0
54326543-6,Generic Carrier,Standard,20000117109392242,shipped,2024-03-20 18:23:27,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 18:36:13,0
54326543-6,Generic Carrier,Standard,20000117109392242,draft,2024-03-20 18:23:27,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-20 18:27:37,0
54326543-6,Generic Carrier,Standard,20000117109392241,shipped,2024-03-20 18:23:27,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 18:24:05,0
Unknown,Generic Carrier,Standard,9008,shipped,2024-03-20 16:17:04,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 16:18:17,0
Unknown,Generic Carrier,Standard,7890,shipped,2024-03-20 15:46:34,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 16:06:27,0
Unknown,Unknown,Unknown,Unknown,draft,2024-03-20 14:24:32,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-20 14:27:19,0
Unknown,Unknown,Unknown,Unknown,draft,2024-03-20 13:14:38,FAMCO,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-20 13:15:31,0
05675950000-6,Generic Carrier,Standard,20000117108562682,shipped,2024-03-19 19:20:12,NA Spare Parts,Unknown,EPI FULFILLMENT,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 19:21:10,0
Unknown,Generic Carrier,Standard,20000117108553464,shipped,2024-03-19 19:05:14,NA Spare Parts,22351,3 D DAIRY LLC,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 19:05:48,0
Unknown,Generic Carrier,Standard,20000117108548306,shipped,2024-03-19 18:55:41,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 18:57:12,0
Unknown,Generic Carrier,Standard,20000117108547411,shipped,2024-03-19 18:54:36,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 18:55:44,0
GMv2,SAIA,Standard,999999999993,shipped,2024-03-19 18:30:25,NA Spare Parts,NY01,ADAMS CO.,669.31,4270.65,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 18:36:51,0
GEN_MAST_V2 test,Generic Carrier,Standard,90890,shipped,2024-03-19 17:25:18,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 17:28:34,0
54326543-5,Generic Carrier,Standard,20000117108488084,shipped,2024-03-19 17:16:38,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 17:16:56,0
GEN_MAST_V2,Generic Carrier,Standard,89030,shipped,2024-03-19 16:57:49,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 17:01:32,0
54326543-4,Generic Carrier,Standard,20000117108397891,shipped,2024-03-19 14:46:24,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:46:37,0
54326543-3,Generic Carrier,Standard,20000117108396981,shipped,2024-03-19 14:44:47,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:45:04,0
54326543-2,Generic Carrier,Standard,20000117108389351,shipped,2024-03-19 14:32:10,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:32:24,0
54326543-1,Generic Carrier,Standard,20000117108386702,shipped,2024-03-19 14:27:42,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:27:55,0
54326543,Generic Carrier,Standard,20000117108385033,shipped,2024-03-19 14:24:45,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:25:12,0
BOLV2-Test12-10-2,Generic Carrier,Standard,20000117108382852,shipped,2024-03-19 14:20:51,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:21:30,0
BOLV2-Test12-10-1,Generic Carrier,Standard,20000117108381765,shipped,2024-03-19 14:19:11,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:19:41,0
BOLV2-Test12-10,Generic Carrier,Standard,20000117108380962,shipped,2024-03-19 14:18:07,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-19 14:18:31,0
payor details,SAIA,Standard,Unknown,draft,2024-03-19 13:28:03,NA Spare Parts,43097,AITKIN PET AND FARM SUPPLY,0.0,0.0,0.0,recipient,Outbound,pending,Piyovi Dev,2024-03-19 13:50:41,0
testingfreight123,RL,Guaranteed by 5 PM,WR8845992,shipped,2024-03-06 20:38:36,NA Spare Parts,Unknown,CHICKAMAUGA TELEPHONE CORP,1904.6,4196.96,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-18 16:39:06,0
testing freight,RL,Guaranteed by 5 PM,WR8845497,shipped,2024-03-06 20:38:36,NA Spare Parts,Unknown,CHICKAMAUGA TELEPHONE CORP,1904.6,4196.96,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-18 16:19:13,0
3452348,FedEx,FedEx International Economy,794617015795,canceled,2024-03-15 15:55:24,NA Spare Parts,AID672847499,Deutsches Museum,408.59,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-16 01:26:43,0
3452351,UPS,UPS Next Day Air Saver,89373,canceled,2024-03-15 15:53:07,NA Spare Parts,AID449899541,Rogers Corp,190.0,271.39,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-20 18:49:28,0
testlabel-2,Generic Carrier,Standard,20000117105276720,shipped,2024-03-15 18:24:59,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 18:35:33,0
testlabel-2,Generic Carrier,Standard,20000117105271610,draft,2024-03-15 18:24:59,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-15 18:26:15,0
Unknown,Generic Carrier,Standard,20000117105268655,shipped,2024-03-15 17:51:04,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 18:21:50,0
testGeneric,Generic Carrier,Standard,20000117105249755,shipped,2024-03-15 17:48:14,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 17:51:00,0
des-test-01-1,Generic Carrier,Standard,20000117104949422,shipped,2024-03-15 14:58:50,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 14:59:08,0
des-test-01,Generic Carrier,Standard,20000117104948906,shipped,2024-03-15 14:57:20,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 14:58:25,0
Unknown,Unknown,Unknown,Unknown,draft,2024-03-15 13:06:56,NA Spare Parts,Unknown,Unknown,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-15 13:07:03,0
SPOTQ,Generic Carrier,Spot Quote,20000117104896981,shipped,2024-03-15 13:30:53,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 13:31:40,0
Unknown,Generic Carrier,Standard,20000117105065132,shipped,2024-03-15 12:36:16,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 12:54:30,0
Unknown,Generic Carrier,Standard,20000117105064255,draft,2024-03-15 12:36:16,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2024-03-15 12:40:32,0
Unknown,Generic Carrier,Standard,20000117105045926,shipped,2024-03-15 12:03:53,NA Spare Parts,NY01,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 12:11:13,0
3452348,FedEx,FedEx International Economy,794616745036,canceled,2024-03-14 12:20:22,NA Spare Parts,AID672847499,Deutsches Museum,408.59,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-14 21:51:32,0
3452347,RL,Standard,WR8610453,canceled,2024-03-14 12:14:41,NA Spare Parts,AID449899541,Rogers Corp,1113.9,2654.24,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-14 21:46:39,0
3452351,UPS,UPS Next Day Air Saver,1ZXXXXXXXXXXXXXXXX,canceled,2024-03-14 12:04:24,NA Spare Parts,AID449899541,Rogers Corp,179.7,181.52,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-14 21:39:22,0
Unknown,Generic Carrier,Standard,20000117104296204,shipped,2024-03-14 20:48:28,NA Spare Parts,26113,ACHEN JACOB WARREN DAIRY,0.0,0.0,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-14 20:50:30,0
PTL_123,Peninsula Truck,Direct,B0505031,canceled,2024-03-15 00:54:48,NA Spare Parts,22351,3 D DAIRY LLC,0.0,434.72,0.0,sender,Outbound,shipped,Piyovi Dev,2024-03-15 01:02:44,0
